"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Malitbog,Southern Leyte",16520.0,16419.0,16257.0,16995.0,17232.0,16812.0,17423.0,17234.0,17721.0,16411.0,17017.0,16688.0,17307.0,16730.0,18807.0,17708.0,17029.0,16086.0,16710.0,17572.0,17366.0,16544.0,17312.0,17751.0
"Mapanas,Northern Samar",27718.0,27613.0,27451.0,28193.0,28426.0,28010.0,28617.0,28432.0,28915.0,27609.0,28211.0,27886.0,28501.0,27924.0,30001.0,28902.0,28227.0,27284.0,27908.0,28770.0,28560.0,27742.0,28506.0,28949.0
"Marabut,Samar",9344.0,9243.0,9081.0,9819.0,10056.0,9636.0,10247.0,10058.0,10545.0,9235.0,9841.0,9512.0,10131.0,9554.0,11631.0,10532.0,9853.0,8910.0,9534.0,10396.0,10190.0,9368.0,10136.0,10575.0
"Maslog,Eastern Samar",23701.0,23600.0,23438.0,24176.0,24413.0,23993.0,24604.0,24415.0,24902.0,23592.0,24198.0,23869.0,24488.0,23911.0,25988.0,24889.0,24210.0,23267.0,23891.0,24753.0,24547.0,23725.0,24493.0,24932.0
"Matag-ob,Leyte",12756.0,12655.0,12493.0,13231.0,13468.0,13048.0,13659.0,13470.0,13957.0,12647.0,13253.0,12924.0,13543.0,12966.0,15043.0,13944.0,13265.0,12322.0,12946.0,13808.0,13602.0,12780.0,13548.0,13987.0
"Matalom,Leyte",16893.0,16792.0,16630.0,17368.0,17605.0,17185.0,17796.0,17607.0,18094.0,16784.0,17390.0,17061.0,17680.0,17103.0,19180.0,18081.0,17402.0,16459.0,17083.0,17945.0,17739.0,16917.0,17685.0,18124.0
"Mayorga,Leyte",8421.0,8320.0,8158.0,8896.0,9133.0,8713.0,9324.0,9135.0,9622.0,8312.0,8918.0,8589.0,9208.0,8631.0,10708.0,9609.0,8930.0,7987.0,8611.0,9473.0,9267.0,8445.0,9213.0,9652.0
"Mercedes,Eastern Samar",16266.0,16165.0,16003.0,16741.0,16978.0,16558.0,17169.0,16980.0,17467.0,16157.0,16763.0,16434.0,17053.0,16476.0,18553.0,17454.0,16775.0,15832.0,16456.0,17318.0,17112.0,16290.0,17058.0,17497.0
"Merida,Leyta",14404.0,14303.0,14141.0,14879.0,15116.0,14696.0,15307.0,15118.0,15605.0,14295.0,14901.0,14572.0,15191.0,14614.0,16691.0,15592.0,14913.0,13970.0,14594.0,15456.0,15250.0,14428.0,15196.0,15635.0
"Mondragon,Northern Samar",11671.0,11570.0,11408.0,12146.0,12383.0,11963.0,12574.0,12385.0,12872.0,11562.0,12168.0,11839.0,12458.0,11881.0,13958.0,12859.0,12180.0,11237.0,11861.0,12723.0,12517.0,11695.0,12463.0,12902.0
